NewApp,Postmaster General,Last,Office,Month,County,Year,President,Day,First
0,22,Smith,PLEASANTON,12,Atascosa,1882,13,26,John M.
0,26,Smith,PLEASANTON,5,Atascosa,1895,16,6,Martha A.
1,25,Poteet,POTEET,4,Atascosa,1886,14,9,Francis M.
0,28,Mumme,POTEET,9,Atascosa,1898,17,20,Henry T.
0,21,Mackay,ROSSVILLE,3,Atascosa,1881,12,15,Theodosia M.
0,21,Gillespie,ROSSVILLE,9,Atascosa,1881,12,8,R. A.
0,22,Ross,ROSSVILLE,8,Atascosa,1882,13,10,Wm. F. M.
0,22,Yabber,ROSSVILLE,3,Atascosa,1883,13,14,Mrs. Jessie
0,23,Ross,ROSSVILLE,5,Atascosa,1883,13,14,Wm. F. M.
0,25,Bailey,ROSSVILLE,7,Atascosa,1886,14,24,Fred. A.
