County,Num,Year
Burleson,7,1886
Burleson,10,1891
Burleson,2,1892
Burleson,9,1904
Burleson,5,1906
Burleson,2,1854
Burleson,2,1856
Burleson,5,1857
Burleson,2,1860
Burleson,2,1862
Burleson,4,1866
Burleson,3,1867
Burleson,6,1861
Burleson,2,1875
Burleson,8,1895
Burleson,4,1900
Burleson,10,1901
Burleson,7,1912
Burleson,1,1846
Burleson,1,1847
Burleson,1,1848
Burleson,2,1850
Burleson,2,1852
Burleson,2,1858
Burleson,2,1863
Burleson,3,1872
Burleson,3,1880
Burleson,3,1889
Burleson,5,1899
Burleson,3,1907
Burleson,2,1913
Burleson,1,1923
Burleson,2,1929
Burleson,3,1870
