ChangeNum,Name,EstNum,Year
5,Brazoria,2,1890
2,Brazoria,1,1889
2,Brazoria,3,1909
6,Brazoria,0,1916
3,Brazoria,0,1917
0,Brazoria,8,1846
4,Brazoria,0,1850
3,Brazoria,1,1855
3,Brazoria,0,1861
1,Brazoria,0,1863
1,Brazoria,0,1865
4,Brazoria,0,1866
3,Brazoria,0,1867
3,Brazoria,0,1882
4,Brazoria,2,1886
5,Brazoria,3,1894
2,Brazoria,0,1923
3,Brazoria,3,1848
2,Brazoria,1,1852
1,Brazoria,1,1869
5,Brazoria,0,0
0,Brazoria,2,1880
4,Brazoria,0,1884
5,Brazoria,1,1899
6,Brazoria,2,1921
4,Brazoria,1,1925
2,Brazoria,0,1928
9,Brazoria,0,1914
5,Brazoria,0,1870
4,Brazoria,3,1871
1,Brazoria,0,1883
4,Brazoria,0,1887
1,Brazoria,3,1893
1,Brazoria,2,1895
5,Brazoria,0,1900
2,Brazoria,1,1905
7,Brazoria,0,1920
0,Brazoria,2,1888
0,Brazoria,3,1854
5,Brazoria,1,1926
2,Brazoria,0,1858
4,Brazoria,0,1862
1,Brazoria,2,1918
2,Brazoria,0,1878
2,Brazoria,1,1876
1,Brazoria,0,1847
3,Brazoria,0,1860
2,Brazoria,0,1864
2,Brazoria,1,1879
3,Brazoria,0,1929
3,Brazoria,0,1927
1,Brazoria,1,1853
1,Brazoria,0,1885
1,Brazoria,0,1874
1,Brazoria,1,1906
2,Brazoria,0,1856
1,Brazoria,1,1857
1,Brazoria,0,1859
2,Brazoria,0,1868
1,Brazoria,0,1872
1,Brazoria,0,1932
0,Brazoria,2,1849
1,Brazoria,0,1851
0,Brazoria,1,1896
2,Brazoria,0,1931
1,Brazos,1,1885
132,Brazos,32,-
2,Brazos,1,1886
